price,predict
447.05,-0.006525374
449.55,0.001069476
451.69,-0.007638146
451.95,-0.001359196
453.95,-8.06E-05
450.95,0.001602961
454.75,-0.003117189
449.25,-0.004094099
455.9,-0.00592566
452.25,-0.00164547
450.9,-0.000454748
440.6,0.001262555
437.3,-0.003171736
434.2,-0.001506616
438.85,-0.023457929
435.6,-0.00939144
440.6,-0.002723688
437.2,-0.007674135
441.5,-0.007276457
442.99,0.008362224
441.6,-0.012540093
439.7,-0.008754345
442.24,0.002147533
442.65,-0.001396807
444.35,-0.011195483
443.75,0.001330447
436.45,0.000705185
437.99,-0.006787101
438.45,-0.003962019
429.55,-0.012014328
427.55,-0.004962324
426.55,-0.004523735
421.4,-0.008903218
419.05,0.00405316
419.63,-0.001201259
421.65,-0.01125431
426.15,0.005520742
425.2,0.000767746
423.15,0.000542931
422.13,0.000617213
423.05,-0.001394927
423.15,-0.00329144
422.35,-0.001790102
427.25,0.018896388
427.35,0.00220601
422.2,-0.010572064
426.8,-0.004441948
426.2,0.001179005
427,0.005284005
422.6,0.004893283
421.13,-0.003622283
421.96,-0.00039399
417.2,-0.008381099
414.7,0.003402194
413.4,-0.009491044
412.7,-0.0024923
413.35,-0.003798051
417.8,-0.003084564
420.9,-0.006458446
425.75,0.005131041
425.75,-0.009460609
425.2,-0.001288736
427.17,-0.000118145
427.41,-0.009817042
427.45,-0.001813304
435.85,0.004702304
434.55,0.006680205
433.75,-0.000587231
435.25,-0.007558826
435.65,0.002500421
432.6,0.002869046
432.95,-0.004395199
429.65,-0.005384212
434.3,0.004328889
434.55,-0.008654379
440.55,0.00133943
440.6,-0.008202648
442.13,-0.008801662
444.95,-0.00392794
440.97,-0.006386293
440.7,0.00378016
443.15,-0.00264816
438.8,0.005364503
439.35,-0.000713852
431.2,0.010927203
427.11,0.00416481
425.35,-0.002657907
425.05,-0.003505868
424.88,-0.008445587
426.2,-0.015166616
426.1,-0.008554309
426.35,-0.007785949
428.35,0.004404979
426.25,0.012052222
424.25,0.007930253
425.35,0.006393044
426.7,-0.007335192
425.9,-0.004779062
427.1,0.009392897
428,-0.001415301
428.2,0.005074862
428.9,-0.004639145
424,-0.008263275
424.9,-0.000593665
427.35,-0.002087882
434,-0.009110046
434.6,0.006550733
432.57,-0.004351997
434.6,0.000935059
434.7,0.006988106
437.1,0.000340157
432.46,-0.003779992
431.4,0.001195177
434.39,-0.000783076
429.8,0.003381757
427.9,0.000739267
429.8,0.001041836
430.4,-0.001577754
426.2,-0.0068851
426.1,-0.006362692
426.6,-0.000261807
427.4,-0.0020275
422.4,-0.001650164
420.4,0.013155157
419.75,-0.005258431
418.75,-0.006223772
421.75,-0.001684585
420.6,0.001613053
417.65,-0.003858842
417.55,-0.004273415
418.35,-0.001106093
419.55,-0.009122608
417.8,0.002515538
420.45,-0.011209788
418.55,0.000248543
417.25,-0.002940564
415.4,-0.000716325
421.8,-0.003579953
422.45,-0.003342463
425.95,-0.001943633
424.75,-0.012222601
423.15,0.00826533
423.7,9.07E-05
427.05,-0.015062651
428.9,-0.009242849
426.85,-0.008055184
428.9,-0.001518315
435.65,0.00085472
437.65,0.003978596
437.9,-0.005703958
438.6,-0.009276315
438.15,-0.003569415
441.3,-0.014798039
439.95,-0.009409896
439.8,-0.004360545
435.55,-0.000587732
437.25,0.01207852
435.5,-0.006928889
427.4,-0.00389863
427.9,-0.006786677
423.6,0.011544358
423.76,-0.001512728
424.2,-0.008030355
423.1,-0.003232468
425.9,-0.006880484
426.95,-0.005272001
424.1,-0.007793599
419.6,-0.004079464
421.55,-0.00030423
421.05,-0.002980155
420.1,-0.000677217
423.15,-0.000694059
425.6,-0.0129897
425,0.006345798
425.85,-0.003058584
423.5,-9.38E-05
425.5,-0.000103498
428,0.003832384
429.8,0.004323938
432.2,-0.005035538
432.3,0.00558581
436.8,0.001124575
437.6,-0.003400087
437.3,0.003004374
435,0.027602559
434.8,0.011638163
437.6,0.007650636
445.9,0.001859353
446.2,-0.00178231
442.4,0.003281072
446.15,-0.001733331
440.1,0.000373104
439.7,0.003593811
436.3,0.007692896
438.2,-0.005572387
439.2,-0.005543748
437.67,-0.004247185
438.7,-0.018687989
437.7,-0.000543994
436.9,-0.005117726
431.6,-0.008647911
435.2,0.008522916
443.25,0.003477251
444.4,-0.00524899
445.35,-8.35E-05
444,0.000834724
444.7,-0.002780402
447.4,-0.005870637
449.2,-0.003779256
449.75,-0.005189879
446.5,0.007496158
450.3,-0.004450787
455.75,-0.00233146
459.75,-0.003817909
464.75,0.003659692
463.85,0.00224997
472.35,-0.001890784
466.05,-0.002377527
463.25,-0.000472385
466.65,0.005990853
462.5,-0.00347534
469,0.002237825
472.15,-0.007170289
469.3,0.006416853
465.95,-0.011562587
466.25,0.002327147
464.75,0.007229252
473.45,-0.004920958
474.85,-0.006747283
475.24,0.001561198
475.5,0.006933165
470.9,-0.017431108
471.6,-0.001258987
469.7,0.003377745
474,-0.00106483
472.2,0.00751059
464.55,-0.004904126
461.2,-0.002534677
466.89,-0.006642333
465.25,-0.004863989
472.6,-0.000244091
470.95,-0.001625845
473.65,0.003196797
473.49,-0.008278383
465.18,-0.001167255
459.15,-0.005047861
463.2,-0.004317586
461.1,0.00384232
456.9,-0.004266227
459.6,-0.007346651
460.8,-0.004339444
467.1,0.001235317
466.85,-0.007163834
468.7,0.001693638
467.5,-0.001543282
468.52,-0.004404408
479.3,-0.00258815
486,0.009936703
485.8,-0.004945939
491.76,0.001767119
494.58,-0.003739061
492.5,-0.007408064
493.49,0.003067096
496.08,-0.010158054
498.7,-0.003050873
499.8,-0.000434191
493.08,-0.014833998
503.9,-0.001369643
503.38,0.002751751
509.4,-0.005500132
511.4,-0.004968854
515.2,-0.003651123
521.13,0.004605294
526.4,0.000450299
528,0.00395932
518.7,-0.00296667
506.5,0.003817997
502.98,-0.013058922
503.24,-0.006956113
503.8,-0.000134744
492.25,-0.004210063
495.33,-0.000190562
504.33,0.000356377
502.8,0.001831989
505.13,0.003485724
507.9,-0.007957379
516.6,-0.006577462
516.9,-0.006744048
517,-0.007099764
516.88,-0.005446434
534.15,0.001667578
534.4,0.000989337
524.8,-0.003147991
