,label,pred
0,-0.005577766598709677,0.007757128681987524
1,-0.017454930136201363,0.0003158543258905411
2,-0.023338451414783856,-0.013608415611088276
3,0.0036793576565050667,-0.01143211405724287
4,0.011353634140920166,0.01249573566019535
5,0.01451963897113906,0.021232161670923233
6,0.012584281688130972,0.021687816828489304
7,0.022573222503656565,0.019612399861216545
8,0.02339364250724052,0.028690587729215622
9,0.015158946007401086,0.027271904051303864
10,0.044516554735024805,0.036087777465581894
11,0.039985600503982255,0.042028047144412994
12,0.04363925365316179,0.04909706115722656
13,0.050475949641457296,0.049389854073524475
14,0.055081913913624714,0.05434052646160126
15,0.06871434760632522,0.0586915947496891
16,0.07041042581112267,0.07356518507003784
17,0.051476830957594144,0.06289828568696976
18,0.04078022026626549,0.047849930822849274
19,0.03305821406620413,0.03855186328291893
20,0.027614364737904795,0.03828142583370209
21,0.03218017385196226,0.03420591354370117
22,0.02974535504655984,0.04180692136287689
23,0.0367421378052577,0.04476369544863701
24,0.029965927695915662,0.03697125241160393
25,0.008894282865935521,0.015118264593183994
26,0.015656226273486507,0.021508608013391495
27,0.014905704835627143,0.021628376096487045
28,0.01787288261321085,0.021130520850419998
29,0.02111960411788094,0.03564643859863281
30,0.016596405591302377,0.03328816965222359
31,0.02426091247588702,0.03490820899605751
32,0.025549117369626506,0.031155820935964584
33,0.0035779590688513885,0.009191565215587616
34,-0.0035340037977353855,0.009565222077071667
35,-0.017564526337998432,0.004396900534629822
36,-0.02468842207248867,-0.006167859770357609
37,-0.0373904321660633,-0.025789599865674973
38,-0.04909813512687233,-0.028967879712581635
39,-0.04375247046422759,-0.03421792387962341
40,-0.057927620761868304,-0.05069923400878906
41,-0.05499402897246397,-0.050541236996650696
42,-0.05688052752730233,-0.047836340963840485
43,-0.06638008855263722,-0.05433712527155876
44,-0.07139738925743644,-0.061277806758880615
45,-0.08491195473164137,-0.07503506541252136
46,-0.0839061509194674,-0.07522579282522202
47,-0.07907866219030213,-0.07072358578443527
48,-0.07969912030937909,-0.07064875960350037
49,-0.0903743997280183,-0.07104639708995819
50,-0.08482932456102876,-0.07462194561958313
51,-0.07942665135468496,-0.08063086867332458
52,-0.07620108858697994,-0.06650862097740173
53,-0.07517054962028569,-0.06575033068656921
54,-0.07394677825418239,-0.06518043577671051
55,-0.08135348553458022,-0.06544223427772522
56,-0.07593163832584349,-0.07117675244808197
57,-0.07879100563222852,-0.06817431002855301
58,-0.08083336905731553,-0.07226146757602692
59,-0.08441867508978407,-0.06397145986557007
60,-0.07634554105373437,-0.06530725210905075
61,-0.07322243537522222,-0.06520475447177887
62,-0.06751110293537954,-0.06534278392791748
63,-0.06335023957813224,-0.06062154471874237
64,-0.07040141155712387,-0.049309708178043365
65,-0.04951948028705899,-0.04571397602558136
66,-0.018657659935700455,-0.0348656140267849
67,-0.015421136561322157,-0.013309658505022526
68,-0.0018187830687831363,0.005651319865137339
69,-0.01678240740740755,0.00587737001478672
70,-0.012997868900646803,-0.006339634768664837
71,-0.0174445756984698,-0.010428942739963531
72,-0.016974813047667126,-0.008959437720477581
73,-0.010424148663830568,-0.006522485055029392
74,-0.009420744072858644,-0.0033982107415795326
75,-0.008204815830033962,-0.0014062081463634968
76,-0.019178410905298482,-0.0013046897947788239
77,-0.021181161226015544,-0.00981183536350727
78,-0.009300134838101881,-0.013413633219897747
79,-0.017398291939975108,0.005852768197655678
80,-0.004677565425229013,-0.007068301551043987
81,-0.014895858359977199,-0.01095385942608118
82,-0.010846671305961508,-0.004229742102324963
83,0.0004917652516818194,-0.0037202732637524605
84,-0.005019717003015622,0.004884116817265749
85,0.0007763321579228322,0.011016194708645344
86,0.0003347467083238964,0.0023022538516670465
87,0.004788485233170325,0.00927512627094984
88,0.004085554114936718,0.010306171141564846
89,0.017438563327032197,0.02357056736946106
90,0.010189035916824185,0.023500025272369385
91,0.010122873345935757,0.017836693674325943
92,-0.003137564348250743,0.010026051662862301
93,-0.007659431200725764,0.00019587762653827667
94,0.007003891050583633,0.012870699167251587
95,-0.001054415364338257,0.005103756673634052
96,-0.023540021717924797,-0.016484718769788742
97,-0.01119945521138177,-0.01635918766260147
98,-0.008291461910809206,-0.006844650954008102
99,0.022375440268318503,0.01301571261137724
100,0.032071029046338406,0.02202576771378517
101,0.02888217860537945,0.03729943931102753
102,0.030447566154851557,0.03831583261489868
103,0.027311980048761564,0.033703021705150604
104,0.018090115575738475,0.032973721623420715
105,0.011492434534998486,0.025699131190776825
106,0.028633801624118993,0.029431432485580444
107,0.016264992079656038,0.03437697887420654
108,0.015101938082053845,0.013709221966564655
109,0.035479269684290715,0.03841771185398102
110,0.021434065624824195,0.027205467224121094
111,0.021462206630020964,0.027648568153381348
112,0.019623660957169387,0.027562059462070465
113,0.020996401676744547,0.014796066097915173
114,0.02709961392841831,0.02971421182155609
115,0.025860779842237225,0.03532784432172775
116,0.020291875813348348,0.027469158172607422
117,0.01967578614891541,0.025690529495477676
118,0.029067769055692194,0.025426220148801804
119,0.04065214362023317,0.03269490227103233
120,0.05279851793633861,0.05116923525929451
121,0.043173545676563174,0.057746946811676025
122,0.05355359128517301,0.05838415026664734
123,0.05365288196931428,0.05799411982297897
124,0.05365288196931428,0.05822516977787018
125,0.06353903569947605,0.0583927296102047
126,0.06380291778188263,0.06611593067646027
127,0.06340682556375565,0.055843207985162735
128,0.07233331786758201,0.06293801218271255
129,0.0723280210541708,0.05921265855431557
130,0.05818116236079174,0.060889631509780884
131,0.0629546092738027,0.06900826841592789
132,0.07884272217542132,0.0685516744852066
133,0.07697672944011158,0.0800919309258461
134,0.09421786739301341,0.09149685502052307
135,0.14693137805091228,0.10379210114479065
136,0.1323411028577699,0.13423512876033783
137,0.14846772622261817,0.15400958061218262
138,0.13676061382483384,0.14078611135482788
139,0.11017439457806422,0.1392640471458435
140,0.10193679918450549,0.11806799471378326
141,0.1099325950006429,0.10540889948606491
142,0.13282673094261144,0.11158095300197601
143,0.11511281473676571,0.1167142242193222
144,0.11462683856909384,0.11926766484975815
145,0.1184552171496771,0.12235160171985626
146,0.10104497872689322,0.12158828228712082
147,0.11783570055483161,0.10770788043737411
148,0.10963764060158532,0.10672540217638016
149,0.1019273171994537,0.10013140738010406
150,0.08689044711653815,0.1000894233584404
151,0.09699062654168733,0.10292038321495056
152,0.09389003676174634,0.09730544686317444
153,0.1072977880340964,0.09697534143924713
154,0.10195794313109907,0.10754939913749695
155,0.09885688967656181,0.09680803120136261
156,0.11950069987065692,0.10098426789045334
157,0.10166109467714568,0.10539092868566513
158,0.08928695050190383,0.09491077065467834
159,0.0726989185918685,0.07781514525413513
160,0.07996795827758696,0.07708706706762314
161,0.07451404807962714,0.08245627582073212
162,0.05186354438669705,0.06461387872695923
163,0.0691786870768325,0.05993441492319107
164,0.04286048415389998,0.06303218752145767
165,0.0014197709115411072,0.011732560582458973
166,0.008579530307069705,0.0147033566609025
167,-0.0028113715130511086,0.014251487329602242
168,-0.0048310349563348565,0.005793176591396332
169,0.04390013897161005,0.024849697947502136
170,0.04795359651973885,0.05107901617884636
171,0.03840648657593171,0.047124024480581284
172,0.019255132536382558,0.0265885591506958
